data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,ricoverati_con_sintomi_ieri,nuovi_ricoverati_con_sintomi,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva,tamponi_ieri,nuovi_tamponi,casi_testati_ieri,nuovi_casi_testati
2021-01-15T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,443,41,484,10763,11247,67,240,26276,1311,,,38834,558267,283574,,4,,,38594,240,26105,171,453,-10,1309,2,40,1,554396,3871,282109,1465
2021-01-15T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,80,4,84,6748,6832,27,78,5244,289,,,12365,199103,124461,"N. 7 decessi del mese di dicembre 2020 sono da attribuire a casi positivi per SARS CoV-2 non residenti, deceduti in strutture ospedaliere della Regione Basilicata.",0,,E' IN CORSO VERIFICA E VALIDAZIONE DEL NUMERO TOTALE DEI GUARITI DELLA REGIONE BASILICATA.,12287,78,5196,48,80,0,286,3,4,0,197440,1663,124057,404
2021-01-15T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,285,27,312,9498,9810,143,405,18087,530,,,28427,476032,454070,,1,,,28022,405,17829,258,284,1,526,4,29,-2,473082,2950,451787,2283
2021-01-15T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1401,93,1494,71439,72933,180,1150,128728,3335,,,204996,2208602,1470534,,7,,,203846,1150,127795,933,1365,36,3298,37,104,-11,2194673,13929,1461530,9004
2021-01-15T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,2511,231,2742,52768,55510,-438,1794,134711,8657,,,198878,2774816,1289999,In seguito a verifica sui dati comunicati nei giorni passati sono stati eliminati 2 casi in quanto giudicati non casi COVID-19.,10,,,197086,1792,132548,2163,2610,-99,8590,67,233,-2,2752436,22380,1285504,4495
2021-01-15T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,688,68,756,12123,12879,16,919,44597,2035,,,59511,1022612,365548,,6,,,58592,919,43723,874,668,20,2006,29,68,0,1011978,10634,361869,3679
2021-01-15T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,2780,299,3079,74676,77755,-225,1394,105021,4342,,,187118,2909237,2140660,,13,"Come da indicazioni, vengono inseriti solo i Tamponi processati con test antigenico nelle  24 ore precedenti","Come da indicazioni, vengono inseriti solo i casi confermati da test antigenico nelle  24 ore precedenti",185724,1394,103438,1583,2814,-34,4306,36,295,4,2880995,28242,2124460,16200
2021-01-15T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,668,59,727,4307,5034,-40,254,57096,3084,,,65214,764447,340315,,0,I 2243 test antigenici rapidi sono riferiti alle 24 ore precedenti come richiesto nella comunicazione e-mail del 13/01/2021;  in Regione Liguria la positività al test antigenico rapido è seguita da conferma con test molecolare.,,64960,254,56812,284,678,-10,3074,10,65,-6,758219,6228,338106,2209
2021-01-15T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,3601,466,4067,53087,57154,1054,2205,427181,26094,,,510429,5171810,2713639,,19,,,508224,2205,426098,1083,3614,-13,26026,68,468,-2,5137863,33947,2704477,9162
2021-01-15T17:00:00,ITA,11,Marche,43.61675973,13.5188753,587,82,669,11020,11689,-504,629,35810,1763,,,49262,606048,362659,,9,,,48633,629,34687,1123,583,4,1753,10,76,6,597883,8165,358740,3919
