data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note_it,note_en,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva,tamponi_ieri,nuovi_tamponi,casi_testati_ieri,nuovi_casi_testati
2020-05-06T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,285,11,296,1495,1791,-18,22,915,341,3047,43803,31502,,,3025,22,881,34,335,6,11,0,42489,1314,30835,667
2020-05-06T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,47,3,50,122,172,-5,3,202,25,399,16103,15619,,,396,3,194,8,25,0,3,0,15476,627,15028,591
2020-05-06T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,87,3,90,554,644,-6,3,389,89,1122,41828,39780,,,1119,3,381,8,88,1,4,-1,40509,1319,38461,1319
2020-05-06T17:00:00,ITA,15,Campania,40.83956555,14.25084984,433,25,458,1882,2340,-190,14,1816,376,4532,96548,49478,,,4518,14,1619,197,369,7,25,0,93068,3480,48733,745
2020-05-06T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,1816,176,1992,6399,8391,-290,104,14251,3737,26379,211652,138871,,,26275,104,13889,362,3705,32,191,-15,206166,5486,136310,2561
2020-05-06T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,115,3,118,844,962,-22,9,1826,306,3094,79429,50698,,,3085,9,1798,28,303,3,4,-1,78510,919,50135,563
2020-05-06T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,1351,91,1442,2991,4433,63,81,2024,538,6995,160894,125897,,,6914,81,2010,14,534,4,91,0,157307,3587,122541,3356
2020-05-06T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,548,59,607,2699,3306,-121,76,4002,1243,8551,59693,37177,,,8475,76,3816,186,1232,11,68,-9,57622,2071,36150,1027
2020-05-06T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,6079,480,6559,25194,31753,-5339,764,33005,14611,79369,439806,262964,dc-IT-0020,dc-EN-0020,78605,764,27124,5881,14389,222,509,-29,425290,14516,255292,7672
2020-05-06T17:00:00,ITA,11,Marche,43.61675973,13.5188753,353,42,395,2841,3236,17,29,2242,943,6421,69037,45026,,,6392,29,2237,5,936,7,42,0,67256,1781,44045,981
2020-05-06T17:00:00,ITA,14,Molise,41.55774754,14.65916051,9,0,9,170,179,2,3,103,22,304,7896,7604,,,301,3,102,1,22,0,1,-1,7528,368,7252,352
2020-05-06T17:00:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,99,11,110,469,579,-33,1,1678,286,2543,46228,20872,,,2542,1,1644,34,286,0,11,0,45264,964,20561,311
2020-05-06T17:00:00,ITA,4,P.A. Trento,46.06893511,11.12123097,116,13,129,853,982,-59,19,2861,437,4280,44719,26161,,,4261,19,2787,74,433,4,15,-2,42870,1849,25137,1024
2020-05-06T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2147,150,2297,12561,14858,-465,165,9834,3247,27939,188057,131269,,,27774,165,9235,599,3216,31,155,-5,181316,6741,126685,4584
2020-05-06T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,365,36,401,2502,2903,-36,26,855,438,4196,70944,68760,,,4170,26,798,57,433,5,39,-3,69128,1816,67238,1522
2020-05-06T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,91,11,102,521,623,-19,1,577,119,1319,29966,26598,,,1318,1,557,20,119,0,9,2,28867,1099,25631,967
2020-05-06T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,359,25,384,1817,2201,-1,14,830,250,3281,92999,83908,,,3267,14,818,12,247,3,26,-1,91306,1693,82079,1829
2020-05-06T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,462,92,554,4534,5088,-102,26,3670,899,9657,161553,121066,,,9631,26,3552,118,889,10,111,-19,157260,4293,118265,2801
2020-05-06T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,55,9,64,107,171,-5,4,1163,70,1404,41328,28712,,,1400,4,1154,9,70,0,11,-2,39998,1330,27822,890
2020-05-06T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,50,3,53,74,127,17,3,880,139,1146,8640,6461,,,1143,3,894,-14,139,0,3,0,8484,156,6342,119
2020-05-06T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,902,90,992,5797,6789,-327,77,10122,1568,18479,399806,231469,,,18402,77,9741,381,1545,23,98,-8,390952,8854,227579,3890
