data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva,tamponi_ieri,nuovi_tamponi,casi_testati_ieri,nuovi_casi_testati
2020-07-15T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,17,0,17,107,124,3,3,2740,467,3113,218,3331,116253,76907,,3328,3,2740,0,467,0,0,0,115444,809,76420,487
2020-07-15T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,3,0,3,2,5,0,0,373,27,402,3,405,43107,42322,"NEL TOTALE CASI POSITIVI SONO COMPRESI: N. 1 CASO RESIDENTE E GIA' ATTRIBUITO ALLA REGIONE VENETO (DETRATTO DAL N. CASI TOTALI), N. 2 CASI RISULTATI POSITIVI PER ATTIVITA' DI SCREENING PROVENIENTI DA STATO ESTERO (MOLDAVIA) E NON RESIDENTI IN BASILICATA, N. 1 NUOVO CASO POSITIVO DI SOGGETTO RESIDENTE IN BASILICATA MA PROVENIENTE DA STATO ESTERO OVE HA LAVORATO (KAZAKISTAN).  ",406,-1,374,-1,27,0,0,0,42851,256,42071,251
2020-07-15T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,5,0,5,54,59,2,2,1062,97,1159,59,1218,106955,104921,"Dei  54 soggetti positivi  in isolamento domiciliare 13 sono stati trasferiti  a Roma, in apposita struttura ( Ospedale Celio) ",1216,2,1062,0,97,0,0,0,106176,779,104142,779
2020-07-15T17:00:00,ITA,15,Campania,40.83956555,14.25084984,51,1,52,207,259,7,8,4096,432,4724,63,4787,306363,152896,,4779,8,4095,1,432,0,1,0,304517,1846,151799,1097
2020-07-15T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,88,9,97,1073,1170,-19,18,23548,4271,28112,877,28989,558766,333415,,28971,18,23511,37,4271,0,9,0,554781,3985,330870,2545
2020-07-15T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,5,0,5,88,93,7,1,2901,345,3332,7,3339,217376,115345,,3338,1,2907,-6,345,0,0,0,214706,2670,114618,727
2020-07-15T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,190,10,200,698,898,4,20,6631,847,6096,2280,8376,375364,308504,,8356,20,6616,15,846,1,10,0,373026,2338,306387,2117
2020-07-15T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,24,0,24,172,196,2,4,8285,1561,8455,1587,10042,166213,88611,,10038,4,8283,2,1561,0,0,0,164739,1474,87873,738
2020-07-15T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,177,23,200,7335,7535,-417,63,70936,16765,89240,5996,95236,1165476,699935,,95173,63,70461,475,16760,5,27,-4,1155050,10426,693556,6379
2020-07-15T17:00:00,ITA,11,Marche,43.61675973,13.5188753,3,1,4,153,157,-3,0,5661,987,6805,0,6805,151628,91580,,6805,0,5658,3,987,0,0,1,150309,1319,90950,630
2020-07-15T17:00:00,ITA,14,Molise,41.55774754,14.65916051,1,0,1,8,9,0,0,414,23,444,2,446,25037,23903,,446,0,414,0,23,0,0,0,24875,162,23741,162
2020-07-15T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,6,0,6,91,97,2,3,2288,292,2677,0,2677,93003,46587,,2674,3,2287,1,292,0,0,0,92044,959,46009,578
2020-07-15T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,1,0,1,23,24,-2,0,4452,405,3381,1500,4881,135996,67776,,4881,0,4450,2,405,0,0,0,134858,1138,67405,371
2020-07-15T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,163,8,171,716,887,-27,8,26510,4118,26053,5462,31515,456932,281745,,31507,8,26478,32,4115,3,9,-1,454092,2840,280065,1680
2020-07-15T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,10,0,10,58,68,0,0,3926,547,2051,2490,4541,207413,140603,per 1315 casi non e' disponibile la provenienza,4541,0,3926,0,547,0,0,0,204917,2496,138661,1942
2020-07-15T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,4,0,4,8,12,2,2,1230,134,1361,15,1376,95175,80552,,1374,2,1230,0,134,0,0,0,94052,1123,79670,882
2020-07-15T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,4,0,4,133,137,0,0,2695,283,2753,362,3115,240742,194142,,3115,0,2695,0,283,0,0,0,238702,2040,192474,1668
2020-07-15T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,9,3,12,301,313,2,8,8898,1127,10114,224,10338,379196,254060,,10330,8,8894,4,1125,2,2,1,375745,3451,251778,2282
2020-07-15T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,5,0,5,5,10,2,2,1362,80,1435,17,1452,108430,71881,,1450,2,1362,0,80,0,0,0,107301,1129,71359,522
2020-07-15T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,1,0,1,1,2,-2,0,1048,146,1079,117,1196,19824,14702,,1196,0,1046,2,146,0,0,0,19707,117,14621,81
2020-07-15T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,30,2,32,406,438,11,21,16960,2043,19289,152,19441,1083811,445120,,19420,21,16952,8,2041,2,2,0,1076719,7092,442646,2474
