data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,note_it,note_en,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva,tamponi_ieri,nuovi_tamponi
2020-04-18T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,321,41,362,1609,1971,29,44,263,253,2487,27016,,,2443,44,255,8,246,7,43,-2,25436,1580
2020-04-18T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,60,8,68,194,262,-4,2,54,23,339,6056,,,337,2,49,5,22,1,9,-1,5710,346
2020-04-18T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,152,7,159,673,832,13,20,106,73,1011,22794,,,991,20,99,7,73,0,7,0,21657,1137
2020-04-18T17:00:00,ITA,15,Campania,40.83956555,14.25084984,605,76,681,2364,3045,18,37,643,300,3988,46294,,,3951,37,631,12,293,7,76,0,43697,2597
2020-04-18T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,3234,296,3530,10054,13584,-1,350,5635,2965,22184,121220,,,21834,350,5346,289,2903,62,309,-13,116826,4394
2020-04-18T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,141,27,168,1235,1403,-25,56,1106,222,2731,43293,,,2675,56,1027,79,220,2,23,4,40030,3263
2020-04-18T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,1376,186,1562,2720,4282,68,144,1046,340,5668,89553,,,5524,144,978,68,332,8,187,-1,84755,4798
2020-04-18T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,901,105,1006,2406,3412,-47,113,1992,897,6301,29322,,,6188,113,1863,129,866,31,105,0,28181,1141
2020-04-18T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,10042,947,10989,23206,34195,761,1246,19136,12050,65381,255331,,,64135,1246,18850,286,11851,199,971,-24,243513,11818
2020-04-18T17:00:00,ITA,11,Marche,43.61675973,13.5188753,804,88,892,2280,3172,15,53,1754,795,5721,39909,,,5668,53,1726,28,785,10,94,-6,37997,1912
2020-04-18T17:00:00,ITA,14,Molise,41.55774754,14.65916051,27,4,31,178,209,1,0,44,16,269,3082,,,269,0,45,-1,16,0,4,0,3082,0
2020-04-18T17:00:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,179,28,207,1349,1556,-26,29,530,239,2325,28888,,,2296,29,480,50,234,5,32,-4,27698,1190
2020-04-18T17:00:00,ITA,4,P.A. Trento,46.06893511,11.12123097,276,42,318,1667,1985,-5,55,1098,348,3431,23147,,,3376,55,1044,54,342,6,44,-2,21921,1226
2020-04-18T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,3271,323,3594,10629,14223,225,661,3989,2252,20464,91844,,,19803,661,3634,355,2171,81,333,-10,86714,5130
2020-04-18T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,594,60,654,2040,2694,38,82,401,314,3409,40423,,,3327,82,364,37,307,7,62,-2,38278,2145
2020-04-18T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,112,23,135,746,881,9,20,231,86,1198,14087,,,1178,20,220,11,86,0,23,0,13304,783
2020-04-18T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,526,42,568,1603,2171,32,47,305,196,2672,47715,,,2625,47,296,9,190,6,46,-4,45172,2543
2020-04-18T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,883,198,1081,5389,6470,-113,127,1149,618,8237,99903,,,8110,127,925,224,602,16,207,-9,96231,3672
2020-04-18T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,109,32,141,290,431,-63,7,856,57,1344,24106,,,1337,7,786,70,57,0,31,1,22818,1288
2020-04-18T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,107,10,117,432,549,58,80,400,124,1073,4521,,,993,80,379,21,123,1,9,1,4366,155
2020-04-18T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,1287,190,1477,8967,10444,-174,318,4189,1059,15692,247329,,,15374,318,3730,459,1026,33,197,-7,236722,10607
