data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,ricoverati_con_sintomi_ieri,nuovi_ricoverati_con_sintomi,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva,tamponi_ieri,nuovi_tamponi,casi_testati_ieri,nuovi_casi_testati
2020-12-16T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,599,56,655,13331,13986,-481,257,17560,1084,,,32630,471645,257061,Sono stati sottratti 2 casi positivi dei giorni precedenti in quanto duplicati,1,,,32375,255,16836,724,601,-2,1072,12,59,-3,467336,4309,255645,1416
2020-12-16T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,109,11,120,5918,6038,-121,95,3398,212,,,9648,169810,168940,,1,,,9553,95,3182,216,106,3,212,0,11,0,168405,1405,167550,1390
2020-12-16T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,318,22,340,8542,8882,-240,194,11046,403,,,20331,404395,390145,,3,,,20137,194,10616,430,335,-17,399,4,21,1,401854,2541,387987,2158
2020-12-16T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1701,124,1825,86379,88204,-2038,900,85972,2424,,,176600,1844893,1246562,,0,,,175700,900,83068,2904,1720,-19,2390,34,123,1,1830136,14757,1239599,6963
2020-12-16T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,2773,212,2985,59861,62846,-1788,1238,79151,6797,,,148794,2367376,1162546,In seguito a verifica sui dati comunicati nei giorni passati sono stati eliminati 2 casi in quanto giudicati non casi COVID-19.,9,Il dato odierno cumulativo dei tamponi antigenici risente di nuovi allineamenti aziendali al flusso informatico regionale che fino a ieri non venivano trasmessi.,,147558,1236,76205,2946,2797,-24,6719,78,214,-2,2349809,17567,1157563,4983
2020-12-16T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,634,54,688,13063,13751,-188,779,27009,1339,,,42099,837745,317196,,7,,,41320,779,26082,927,654,-20,1299,40,56,-2,828919,8826,315194,2002
2020-12-16T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,2869,305,3174,78093,81267,-2954,1220,59004,3099,,,143370,2505142,1957157,,20,,,142150,1220,54870,4134,2921,-52,3059,40,321,-16,2489437,15705,1949641,7516
2020-12-16T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,755,71,826,7203,8029,-86,275,45584,2705,,,56318,660289,308177,,5,Dei 120854 test antigenici rapidi sono riferiti a partire dal 02/11/2020;  in Regione Liguria la positività al test antigenico rapido è seguita da conferma con test molecolare,,56043,275,45234,350,768,-13,2694,11,71,0,655617,4672,307046,1131
2020-12-16T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,4946,629,5575,64158,69733,-6157,2994,356175,24097,,,450005,4514914,2489727,,18,,,447011,2994,347130,9045,4996,-50,23991,106,656,-27,4477309,37605,2478151,11576
2020-12-16T17:00:00,ITA,11,Marche,43.61675973,13.5188753,448,75,523,10608,11131,-759,480,23112,1437,,,35680,467740,273780,,2,,,35200,480,21882,1230,467,-19,1428,9,78,-3,460780,6960,269841,3939
2020-12-16T17:00:00,ITA,14,Molise,41.55774754,14.65916051,58,10,68,2596,2664,6,25,2951,168,,,5783,105591,97296,,2,,,5758,25,2934,17,59,-1,166,2,8,2,104921,670,96673,623
2020-12-16T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,203,22,225,10429,10654,24,285,15903,668,,,27225,339622,156374,,1,,,26940,285,15653,250,208,-5,657,11,24,-2,337081,2541,155855,519
2020-12-16T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,414,50,464,2338,2802,95,244,15480,808,,,19090,417683,145965,,3,,"Dei 244 casi odierni, 138 sono molecolari con precedente antigenico positivo",18846,244,15344,136,412,2,795,13,53,-3,414855,2828,145529,436
2020-12-16T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,3698,257,3955,44148,48103,-2867,1215,132982,7302,,,188387,1801939,1054003,,8,,,187172,1215,128989,3993,3761,-63,7213,89,266,-9,1784446,17493,1046569,7434
