data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note_it,note_en,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva,tamponi_ieri,nuovi_tamponi,casi_testati_ieri,nuovi_casi_testati
2020-05-23T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,156,4,160,1008,1168,-11,1,1659,394,3221,65290,44680,,,3220,1,1647,12,394,0,4,0,63956,1334,43904,776
2020-05-23T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,14,1,15,26,41,-8,4,330,27,398,25511,24841,,,394,4,318,12,27,0,1,0,25045,466,24395,446
2020-05-23T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,43,1,44,244,288,-14,0,773,96,1157,61892,59633,,,1157,0,759,14,96,0,1,0,60847,1045,58588,1045
2020-05-23T17:00:00,ITA,15,Campania,40.83956555,14.25084984,295,10,305,968,1273,-19,11,3067,404,4744,166692,79655,,,4733,11,3037,30,404,0,9,1,161825,4867,76907,2748
2020-05-23T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,524,84,608,3962,4570,-160,43,18896,4047,27513,287382,179022,,,27470,43,18703,193,4037,10,89,-5,282857,4525,176464,2558
2020-05-23T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,63,1,64,395,459,-26,6,2447,327,3233,116689,71043,,,3227,6,2417,30,325,2,2,-1,114062,2627,70035,1008
2020-05-23T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,1097,60,1157,2424,3581,-54,18,3350,676,7607,230743,185285,,,7589,18,3285,65,669,7,67,-7,227090,3653,182266,3019
2020-05-23T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,247,20,267,1467,1734,-174,38,6279,1414,9427,91735,52664,,,9389,38,6074,205,1407,7,19,1,89529,2206,51771,893
2020-05-23T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,4026,199,4225,21405,25630,-303,441,45355,15840,86825,658784,389648,,,86384,441,44667,688,15784,56,207,-8,641593,17191,378934,10714
2020-05-23T17:00:00,ITA,11,Marche,43.61675973,13.5188753,100,15,115,1598,1713,-55,4,3995,993,6701,94657,60232,,,6697,4,3939,56,990,3,15,0,93549,1108,59673,559
2020-05-23T17:00:00,ITA,14,Molise,41.55774754,14.65916051,8,2,10,179,189,5,5,220,22,431,13017,12552,,,426,5,220,0,22,0,2,0,12616,401,12173,379
2020-05-23T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,35,5,40,174,214,-10,0,2085,291,2590,59671,27549,,,2590,0,2075,10,291,0,5,0,58188,1483,26585,964
2020-05-23T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,28,4,32,533,565,-42,7,3374,456,4395,78185,45304,,,4388,7,3326,48,455,1,4,0,76001,2184,43885,1419
2020-05-23T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,1291,76,1367,6658,8025,-427,60,18341,3771,30137,281897,185963,,,30077,60,17868,473,3757,14,79,-3,276633,5264,182970,2993
2020-05-23T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,215,17,232,1573,1805,-33,8,2157,486,4448,101738,68485,,,4440,8,2120,37,482,4,17,0,99702,2036,67562,923
2020-05-23T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,58,6,64,223,287,-19,0,940,129,1356,49675,42790,,,1356,0,922,18,128,1,6,0,48189,1486,41603,1187
2020-05-23T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,95,9,104,1408,1512,-7,0,1640,269,3421,131913,116517,,,3421,0,1634,6,268,1,10,-1,129431,2482,114230,2287
2020-05-23T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,157,40,197,1569,1766,-20,12,7270,1011,10047,226046,162433,,,10035,12,7240,30,1009,2,42,-2,222505,3541,160266,2167
2020-05-23T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,15,2,17,39,56,-3,1,1300,74,1430,63009,44473,,,1429,1,1296,4,74,0,2,0,61696,1313,43686,787
2020-05-23T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,23,2,25,10,35,-8,0,999,143,1177,13828,10858,,,1177,0,991,8,143,0,2,0,13531,297,10607,251
2020-05-23T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,205,14,219,2622,2841,-182,10,14363,1865,19069,572834,300799,,,19059,10,14182,181,1854,11,12,2,559933,12901,295343,5456
