data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note_it,note_en,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva,tamponi_ieri,nuovi_tamponi,casi_testati_ieri,nuovi_casi_testati
2020-05-24T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,149,3,152,940,1092,-76,5,1736,398,3226,66486,45516,,,3221,5,1659,77,394,4,4,-1,65290,1196,44680,836
2020-05-24T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,13,1,14,25,39,-2,1,333,27,399,26111,25431,,,398,1,330,3,27,0,1,0,25511,600,24841,590
2020-05-24T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,43,1,44,231,275,-13,0,786,96,1157,62952,60693,,,1157,0,773,13,96,0,1,0,61892,1060,59633,1060
2020-05-24T17:00:00,ITA,15,Campania,40.83956555,14.25084984,311,8,319,949,1268,-5,5,3076,405,4749,172106,80942,,,4744,5,3067,9,404,1,10,-2,166692,5414,79655,1287
2020-05-24T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,519,83,602,3855,4457,-113,45,19046,4055,27558,291876,182002,,,27513,45,18896,150,4047,8,84,-1,287382,4494,179022,2980
2020-05-24T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,62,1,63,349,412,-47,3,2495,329,3236,118852,72104,,,3233,3,2447,48,327,2,1,0,116689,2163,71043,1061
2020-05-24T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,1088,61,1149,2420,3569,-12,20,3374,684,7627,233498,187994,,,7607,20,3350,24,676,8,60,1,230743,2755,185285,2709
2020-05-24T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,247,18,265,1359,1624,-110,53,6437,1419,9480,93173,53230,,,9427,53,6279,158,1414,5,20,-2,91735,1438,52664,566
2020-05-24T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,4017,197,4214,21400,25614,-16,285,45656,15840,87110,670241,396992,pd-IT-0020,pd-EN-0020,86825,285,45355,301,15840,0,199,-2,658784,11457,389648,7344
2020-05-24T17:00:00,ITA,11,Marche,43.61675973,13.5188753,101,13,114,1578,1692,-21,13,4028,994,6714,95715,60949,,,6701,13,3995,33,993,1,15,-2,94657,1058,60232,717
2020-05-24T17:00:00,ITA,14,Molise,41.55774754,14.65916051,6,2,8,175,183,-6,1,227,22,432,13226,12751,,,431,1,220,7,22,0,2,0,13017,209,12552,199
2020-05-24T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,30,5,35,160,195,-19,3,2107,291,2593,60573,27938,,,2590,3,2085,22,291,0,5,0,59671,902,27549,389
2020-05-24T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,27,4,31,504,535,-30,9,3412,457,4404,79788,45860,,,4395,9,3374,38,456,1,4,0,78185,1603,45304,556
2020-05-24T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,1283,75,1358,6345,7703,-322,43,18694,3783,30180,285160,188716,,,30137,43,18341,353,3771,12,76,-1,281897,3263,185963,2753
2020-05-24T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,204,17,221,1572,1793,-12,10,2178,487,4458,103570,71032,,,4448,10,2157,21,486,1,17,0,101738,1832,68485,2547
2020-05-24T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,51,3,54,191,245,-42,0,982,129,1356,50796,43661,,,1356,0,940,42,129,0,6,-3,49675,1121,42790,871
2020-05-24T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,91,9,100,1353,1453,-59,2,1701,269,3423,133249,117242,,,3421,2,1640,61,269,0,9,0,131913,1336,116517,725
2020-05-24T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,148,38,186,1514,1700,-66,15,7349,1013,10062,229135,164469,,,10047,15,7270,79,1011,2,40,-2,226046,3089,162433,2036
2020-05-24T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,15,2,17,36,53,-3,0,1302,75,1430,63717,45131,,,1430,0,1300,2,74,1,2,0,63009,708,44473,658
2020-05-24T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,23,1,24,8,32,-3,1,1003,143,1178,14079,11035,,,1177,1,999,4,143,0,2,-1,13828,251,10858,177
2020-05-24T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,185,11,196,2464,2660,-181,17,14557,1869,19086,582709,304944,,,19069,17,14363,194,1865,4,14,-3,572834,9875,300799,4145
