data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_attualmente_positivi,nuovi_attualmente_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,note_it,note_en,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva
2020-03-27T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,289,71,360,565,925,65,24,68,1017,6109,,,946,71,23,1,63,5,64,7
2020-03-27T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,22,15,37,110,147,14,1,3,151,1254,,,134,17,0,1,1,2,16,-1
2020-03-27T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,103,22,125,344,469,97,7,18,494,6901,,,393,101,7,0,14,4,23,-1
2020-03-27T17:00:00,ITA,15,Campania,40.83956555,14.25084984,456,113,569,723,1292,123,64,98,1454,9613,,,1310,144,58,6,83,15,114,-1
2020-03-27T17:00:00,ITA,8,Emilia Romagna,44.49436681,11.3417208,3461,308,3769,5592,9361,511,960,1267,11588,47798,,,10816,772,792,168,1174,93,301,7
2020-03-27T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,222,57,279,748,1027,73,214,76,1317,11841,,,1223,94,197,17,72,4,54,3
2020-03-27T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,992,126,1118,895,2013,178,164,118,2295,24106,,,2096,199,155,9,106,12,113,13
2020-03-27T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,1023,157,1180,880,2060,33,305,331,2696,7804,,,2567,129,260,45,280,51,154,3
2020-03-27T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,11137,1292,12429,11466,23895,1706,8001,5402,37298,95860,,,34889,2409,7839,162,4861,541,1263,29
2020-03-27T17:00:00,ITA,11,Marche,43.61675973,13.5188753,979,162,1141,1709,2850,55,10,336,3196,9060,,,3114,82,9,1,310,26,166,-4
2020-03-27T17:00:00,ITA,14,Molise,41.55774754,14.65916051,26,9,35,51,86,5,14,9,109,710,,,103,6,14,0,8,1,8,1
2020-03-27T17:00:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,249,45,294,539,833,42,110,60,1003,8520,,,906,97,67,43,48,12,43,2
2020-03-27T17:00:00,ITA,4,P.A. Trento,46.06893511,11.12123097,341,66,407,757,1164,70,125,102,1391,4923,,,1297,94,117,8,86,16,66,0
2020-03-27T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2852,431,3283,3064,6347,397,176,569,7092,19705,,,6534,558,135,41,449,120,408,23
2020-03-27T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,530,82,612,624,1236,141,29,69,1334,10233,,,1182,152,22,7,65,4,76,6
2020-03-27T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,93,19,112,384,496,34,13,21,530,3801,,,494,36,13,0,19,2,20,-1
2020-03-27T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,425,75,500,658,1158,63,53,39,1250,11079,,,1164,86,36,17,33,6,68,7
2020-03-27T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,1053,274,1327,1843,3170,197,103,177,3450,23746,,,3226,224,95,8,158,19,259,15
2020-03-27T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,149,46,195,629,824,54,39,21,884,6137,,,802,82,12,27,20,1,46,0
2020-03-27T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,91,24,115,298,413,35,2,37,452,1252,,,408,44,2,0,28,9,24,0
2020-03-27T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,1536,338,1874,4774,6648,508,536,313,7497,83627,,,6935,562,508,28,287,26,326,12
