data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido,codice_nuts_1,codice_nuts_2,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,ricoverati_con_sintomi_ieri,nuovi_ricoverati_con_sintomi,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva,tamponi_ieri,nuovi_tamponi,casi_testati_ieri,nuovi_casi_testati
2021-02-28T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,622,82,704,12540,13244,521,568,39523,1701,,,54468,1002799,506869,,6,,,54468,0,745319,257480,ITF,ITF1,53900,568,39479,44,611,11,1698,3,77,5,984691,18108,499389,7480
2021-02-28T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,85,10,95,3937,4032,81,101,11232,371,,,15635,250546,146414,"IL NUMERO TOTALE DEI DECESSI COMPRENDE 12 PAZIENTI NON RESIDENTI, DECEDUTI  IN STRUTTURE OSPEDALIERE DELLA REGIONE BASILICATA. ",3,,,15635,0,239498,11048,ITF,ITF5,15534,101,11212,20,82,3,371,0,7,3,249147,1399,145526,888
2021-02-28T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,190,20,210,6054,6264,-40,160,30933,683,,,37880,583901,551283,,2,,,37874,6,573200,10701,ITF,ITF6,37720,160,30736,197,187,3,680,3,20,0,582134,1767,549628,1655
2021-02-28T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1341,130,1471,75552,77023,2032,2561,186318,4278,,,267619,2935448,2033984,,5,,,261517,6102,2827403,108045,ITF,ITF3,265058,2561,185794,524,1301,40,4273,5,138,-8,2911080,24368,2016532,17452
2021-02-28T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,2255,227,2482,40196,42678,2007,2610,207381,10543,,,260602,3851466,1503946,"Sono stati eliminati 15 casi, positivi a test antigenico ma non confermati da tampone molecolare.",20,,,260475,127,3403661,447805,ITH,ITH5,258007,2595,206815,566,2178,77,10521,22,214,13,3826860,24606,1496542,7404
2021-02-28T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,361,61,422,9660,10082,97,341,63889,2841,,,76812,1349711,480845,,6,,,71577,5235,1252420,97291,ITH,ITH4,76471,341,63652,237,355,6,2834,7,62,-1,1345374,4337,479004,1841
2021-02-28T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,1767,213,1980,33821,35801,137,1341,192544,5883,,,234228,4116403,2833843,,6,,,231757,2471,3402020,714383,ITI,ITI4,232887,1341,191352,1192,1814,-47,5871,12,216,-3,4081562,34841,2814175,19668
2021-02-28T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,500,52,552,4831,5383,182,248,68965,3630,,,77978,1033573,440188,,5,,In Regione Liguria la positività al test antigenico rapido è seguita da conferma con test molecolare.,77978,0,927023,106550,ITC,ITC3,77730,248,68901,64,491,9,3628,2,50,2,1028736,4837,438176,2012
2021-02-28T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,4118,426,4544,61797,66341,2627,3529,508379,28361,,,603081,6649629,3119343,,19,,,594685,8396,6248623,401006,ITC,ITC4,599552,3529,507514,865,4062,56,28324,37,435,-9,6612378,37251,3106090,13253
2021-02-28T17:00:00,ITA,11,Marche,43.61675973,13.5188753,582,72,654,9576,10230,171,588,55375,2252,,,67857,833982,507294,,2,,,67857,0,769340,64642,ITI,ITI3,67269,588,54970,405,571,11,2240,12,77,-5,829646,4336,504718,2576
