data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva,tamponi_ieri,nuovi_tamponi,casi_testati_ieri,nuovi_casi_testati
2020-06-30T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,33,0,33,164,197,-85,0,2626,464,3100,187,3287,105653,70443,,3287,0,2543,83,462,2,2,-2,104822,831,69874,569
2020-06-30T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,1,0,1,2,3,0,0,372,27,401,1,402,39631,38851,NEL TOTALE DEI CASI POSITIVI SONO COMPRESI N. 2 PAZIENTI IN ISOLAMENTO DOMICILIARE PROVENIENTI DA ALTRA REGIONE,402,0,372,0,27,0,0,0,39294,337,38514,337
2020-06-30T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,4,0,4,23,27,1,1,1057,97,1159,22,1181,95094,93060,,1180,1,1057,0,97,0,0,0,94170,924,92136,924
2020-06-30T17:00:00,ITA,15,Campania,40.83956555,14.25084984,29,0,29,152,181,19,24,4077,432,4677,13,4690,282523,138482,,4666,24,4073,4,431,1,0,0,279246,3277,135740,2742
2020-06-30T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,108,12,120,890,1010,-22,20,23222,4260,27965,527,28492,495544,296112,,28472,20,23185,37,4255,5,12,0,489451,6093,292851,3261
2020-06-30T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,9,0,9,36,45,9,0,2918,345,3307,1,3308,189955,106632,Il numero dei guariti è inferiore al precedente invio in quanto tre soggetti che risultavano guariti per negatività da tampone (2 consecutivi) si sono ri-positivizzati ma non contribuiscono nei nuovi casi in quanto già conteggiati,3308,0,2927,-9,345,0,0,0,187500,2455,105815,817
2020-06-30T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,189,13,202,634,836,-4,5,6437,837,5990,2120,8110,338035,276640,,8105,5,6428,9,837,0,13,0,335751,2284,274704,1936
2020-06-30T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,46,3,49,231,280,3,3,8139,1558,9012,965,9977,147156,78710,,9974,3,8139,0,1558,0,3,0,145902,1254,78097,613
2020-06-30T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,297,42,339,9721,10060,-763,62,67197,16644,88687,5214,93901,1036548,619851,,93839,62,66376,821,16640,4,43,-1,1030431,6117,615813,4038
2020-06-30T17:00:00,ITA,11,Marche,43.61675973,13.5188753,8,0,8,258,266,-8,0,5528,991,6785,0,6785,137340,82950,,6785,0,5520,8,991,0,0,0,136385,955,82326,624
2020-06-30T17:00:00,ITA,14,Molise,41.55774754,14.65916051,0,0,0,25,25,-1,0,397,23,444,1,445,22660,21585,,445,0,396,1,23,0,0,0,22474,186,21400,185
2020-06-30T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,3,1,4,80,84,-1,0,2263,292,2639,0,2639,84172,40961,,2639,0,2262,1,292,0,1,0,83729,443,40655,306
2020-06-30T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,1,0,1,49,50,-3,0,4408,405,3378,1485,4863,121315,62918,,4863,0,4405,3,405,0,0,0,120168,1147,62092,826
2020-06-30T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,267,12,279,1144,1423,-67,11,25836,4090,27273,4076,31349,415257,259420,,31338,11,25761,75,4087,3,11,1,411939,3318,257579,1841
2020-06-30T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,25,0,25,104,129,-16,0,3857,545,2173,2358,4531,178251,118741,Per 1507 casi non è disponibile la provenienza,4531,0,3843,14,543,2,0,0,175811,2440,117104,1637
2020-06-30T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,6,0,6,8,14,0,2,1219,133,1360,6,1366,83439,70030,,1364,2,1218,1,132,1,0,0,82478,961,69332,698
2020-06-30T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,19,3,22,106,128,1,2,2670,282,2749,331,3080,209071,171130,,3078,2,2670,0,281,1,3,0,206550,2521,169019,2111
2020-06-30T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,17,6,23,306,329,2,2,8817,1104,10032,218,10250,337110,229809,,10248,2,8817,0,1104,0,6,0,334198,2912,228057,1752
2020-06-30T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,3,1,4,6,10,1,1,1351,80,1428,13,1441,95627,65217,,1440,1,1351,0,80,0,1,0,94519,1108,64620,597
2020-06-30T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,4,0,4,0,4,1,1,1045,146,1083,112,1195,18263,13805,,1194,1,1045,0,146,0,0,0,18148,115,13734,71
2020-06-30T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,21,0,21,441,462,0,8,16812,2012,19259,27,19286,957466,408628,,19278,8,16808,4,2008,4,1,-1,948871,8595,406042,2586
