data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva,tamponi_ieri,nuovi_tamponi,casi_testati_ieri,nuovi_casi_testati
2020-08-15T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,25,1,26,226,252,10,13,2834,472,3196,362,3558,140692,91060,,3545,13,2831,3,472,0,1,0,139426,1266,90264,796
2020-08-15T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,0,0,0,66,66,2,4,392,28,402,84,486,50856,50066,"PER N. 3 CASI RISULTATI POSITIVI E DICHIARATI IN DATA ODIERNA  SONO IN CORSO
INDAGINI DI CONFERMA PRESSO LABORATORIO DI 
DI II LIVELLO.",482,4,390,2,28,0,0,0,50626,230,49836,230
2020-08-15T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,8,1,9,134,143,10,10,1105,97,1159,186,1345,134064,132030,,1335,10,1105,0,97,0,1,0,132577,1487,130543,1487
2020-08-15T17:00:00,ITA,15,Campania,40.83956555,14.25084984,34,1,35,454,489,2,18,4303,440,5142,90,5232,358504,189377,,5214,18,4287,16,440,0,1,0,356781,1723,188242,1135
2020-08-15T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,75,4,79,1675,1754,-112,71,24178,4453,28642,1743,30385,765122,456025,"A seguito di una verifica interna dei dati sui decessi, la Ausl di Parma ha comunicato 154 decessi avvenuti in marzo, aprile e maggio e finora non conteggiati.",30314,71,24150,28,4298,155,4,0,759033,6089,452995,3030
2020-08-15T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,2,3,5,184,189,6,15,2962,348,3455,44,3499,282722,134780,,3484,15,2953,9,348,0,3,0,279382,3340,133870,910
2020-08-15T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,193,9,202,1016,1218,53,58,6971,870,6308,2751,9059,454938,371681,,9001,58,6966,5,870,0,9,0,452336,2602,369749,1932
2020-08-15T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,17,3,20,253,273,1,33,8604,1569,8584,1862,10446,210231,112680,,10413,33,8572,32,1569,0,3,0,208310,1921,111663,1017
2020-08-15T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,149,12,161,5196,5357,-20,94,75125,16837,90319,7000,97319,1408872,840083,,97225,94,75012,113,16836,1,12,0,1401844,7028,837083,3000
2020-08-15T17:00:00,ITA,11,Marche,43.61675973,13.5188753,13,1,14,180,194,4,11,5849,987,7030,0,7030,182505,108605,,7019,11,5842,7,987,0,1,0,181370,1135,107918,687
2020-08-15T17:00:00,ITA,14,Molise,41.55774754,14.65916051,0,0,0,35,35,0,2,429,23,477,10,487,29899,28711,,485,2,427,2,23,0,0,0,29678,221,28498,213
2020-08-15T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,7,1,8,118,126,3,9,2375,292,2793,0,2793,120894,63420,,2784,9,2369,6,292,0,1,0,119431,1463,62599,821
2020-08-15T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,1,1,2,58,60,-3,0,4538,405,3402,1601,5003,169248,76702,,5003,0,4535,3,405,0,1,0,167848,1400,76300,402
2020-08-15T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,81,3,84,796,880,6,47,27025,4139,24747,7297,32044,533845,324996,"Dei 47 casi positivi, 15 sono diagnosi del 13 agosto inserite in ritardo a causa di un guasto tecnico che ha riguardato la Piattaforma COVID-19 Regione Piemonte.",31997,47,26984,41,4139,0,3,0,531625,2220,323723,1273
2020-08-15T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,46,1,47,261,308,22,22,3981,554,1844,2999,4843,266293,184587,per 882 casi non e' disponibile la provenienza,4821,22,3981,0,554,0,1,0,264548,1745,183493,1094
2020-08-15T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,8,0,8,93,101,-2,5,1254,134,1381,108,1489,117404,99203,,1484,5,1247,7,134,0,0,0,116750,654,98662,541
2020-08-15T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,47,5,52,625,677,46,46,2766,284,2979,748,3727,307936,237998,dei 46 nuovi positivi 13 provengono da Malta,3681,46,2766,0,284,0,6,-1,305906,2030,236593,1405
2020-08-15T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,9,4,13,620,633,29,38,9028,1138,10419,380,10799,467475,306566,,10761,38,9020,8,1137,1,3,1,463708,3767,304412,2154
2020-08-15T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,9,1,10,70,80,12,13,1385,80,1470,75,1545,132814,83936,,1532,13,1384,1,80,0,0,1,131894,920,83413,523
2020-08-15T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,2,0,2,9,11,-2,0,1060,146,1099,118,1217,23166,16512,,1217,0,1058,2,146,0,0,0,23056,110,16436,76
2020-08-15T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,38,4,42,1518,1560,90,120,17476,2096,19673,1459,21132,1363130,524443,,21012,120,17447,29,2095,1,6,-2,1351358,11772,521232,3211
