data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva,tamponi_ieri,nuovi_tamponi,casi_testati_ieri,nuovi_casi_testati
2020-09-29T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,52,4,56,809,865,8,14,3051,481,3764,633,4397,197714,126999,Dai positivi è stato sottratto un caso di ieri già in carico ad altra regione,4384,13,3048,3,479,2,4,0,196626,1088,126392,607
2020-09-29T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,13,1,14,262,276,3,6,471,29,425,351,776,72153,71333,,770,6,468,3,29,0,1,0,71212,941,70392,941
2020-09-29T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,34,2,36,508,544,-2,10,1323,100,1159,808,1967,199777,197671,,1957,10,1311,12,100,0,2,0,198390,1387,196284,1387
2020-09-29T17:00:00,ITA,15,Campania,40.83956555,14.25084984,417,35,452,5513,5965,225,286,6027,463,10844,1611,12455,590407,378937,,12169,286,5968,59,461,2,30,5,584072,6335,374216,4721
2020-09-29T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,204,14,218,4492,4710,25,97,26016,4484,30967,4243,35210,1166500,662825,,35113,97,25946,70,4482,2,15,-1,1155920,10580,658254,4571
2020-09-29T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,21,6,27,697,724,3,28,3563,351,4286,352,4638,406238,180925,,4610,28,3538,25,351,0,6,0,403262,2976,179938,987
2020-09-29T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,674,45,719,6330,7049,128,219,8303,913,7999,8266,16265,867704,724000,,16046,219,8215,88,910,3,41,4,858334,9370,716730,7270
2020-09-29T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,143,22,165,1553,1718,-52,89,9963,1603,9554,3730,13284,307163,164500,,13195,89,9825,138,1600,3,24,-2,304579,2584,163180,1320
2020-09-29T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,315,33,348,8751,9099,-235,203,80476,16951,95011,11515,106526,2090140,1303500,,106323,203,80041,435,16948,3,31,2,2076349,13791,1293542,9958
2020-09-29T17:00:00,ITA,11,Marche,43.61675973,13.5188753,26,3,29,752,781,19,26,6161,990,7932,0,7932,244672,144152,,7906,26,6154,7,990,0,4,-1,243132,1540,143293,859
2020-09-29T17:00:00,ITA,14,Molise,41.55774754,14.65916051,5,1,6,129,135,-2,1,490,24,609,40,649,42678,41224,,648,1,487,3,24,0,1,0,42559,119,41105,119
2020-09-29T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,28,0,28,538,566,6,8,2664,292,3522,0,3522,174711,91062,,3514,8,2662,2,292,0,0,0,173727,984,90576,486
2020-09-29T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,11,0,11,576,587,-28,13,4962,406,3724,2231,5955,227654,98077,,5942,13,4921,41,406,0,0,0,226544,1110,97622,455
2020-09-29T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,193,12,205,2527,2732,48,100,28337,4163,23262,11970,35232,714369,431233,,35132,100,28287,50,4161,2,12,0,707709,6660,428535,2698
2020-09-29T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,210,14,224,2209,2433,14,76,4662,592,2344,5343,7687,404787,288503,per 868 casi non e' disponibile la provenienza,7611,76,4600,62,592,0,15,-1,400565,4222,285597,2906
2020-09-29T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,102,19,121,1910,2031,62,82,1667,151,1944,1905,3849,187520,158909,,3767,82,1648,19,150,1,17,2,185834,1686,157411,1498
2020-09-29T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,293,16,309,2478,2787,44,163,3851,310,4541,2407,6948,477200,350664,,6785,163,3733,118,309,1,15,1,471085,6115,346506,4158
2020-09-29T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,97,20,117,3251,3368,-25,56,10175,1164,11776,2931,14707,732780,492445,,14651,56,10098,77,1160,4,22,-2,728049,4731,489436,3009
2020-09-29T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,39,3,42,478,520,12,23,1803,85,1659,749,2408,203384,121933,,2385,23,1792,11,85,0,3,0,200751,2633,120628,1305
2020-09-29T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,4,0,4,65,69,4,8,1093,146,1176,132,1308,28926,19979,,1300,8,1089,4,146,0,0,0,28765,161,19888,91
2020-09-29T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,167,21,188,3483,3671,50,140,21448,2177,21130,6166,27296,1891881,737524,,27156,140,21359,89,2176,1,21,0,1880709,11172,733252,4272
