data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note_it,note_en,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva,tamponi_ieri,nuovi_tamponi,casi_testati_ieri,nuovi_casi_testati
2020-04-26T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,324,24,348,1720,2068,7,27,496,295,2859,33820,26184,,,2832,27,478,18,293,2,26,-2,33624,196,25959,225
2020-04-26T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,57,7,64,155,219,1,5,122,25,366,10077,10077,,,361,5,118,4,25,0,7,0,9792,285,9792,285
2020-04-26T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,118,8,126,671,797,-14,1,212,80,1089,30853,28900,,,1088,1,197,15,80,0,7,1,29959,894,28006,894
2020-04-26T17:00:00,ITA,15,Campania,40.83956555,14.25084984,536,45,581,2343,2924,-11,32,1062,345,4331,67218,42279,,,4299,32,1023,39,341,4,55,-10,64521,2697,41399,880
2020-04-26T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,2695,245,2940,9401,12341,-6,241,8723,3386,24450,161928,109192,,,24209,241,8515,208,3347,39,246,-1,156883,5045,105628,3564
2020-04-26T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,129,13,142,1106,1248,164,14,1405,264,2917,59681,38202,,,2903,14,1556,-151,263,1,15,-2,58375,1306,37211,991
2020-04-26T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,1442,161,1603,2970,4573,12,85,1347,389,6309,121677,93811,,,6224,85,1276,71,387,2,183,-22,118354,3323,90582,3229
2020-04-26T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,748,82,830,2650,3480,47,187,2894,1114,7488,42607,27852,,,7301,187,2775,119,1093,21,83,-1,41125,1482,26898,954
2020-04-26T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,8481,706,9187,25979,35166,693,920,24398,13325,72889,337797,208471,,,71969,920,24227,171,13269,56,724,-18,326940,10857,202827,5644
2020-04-26T17:00:00,ITA,11,Marche,43.61675973,13.5188753,668,58,726,2582,3308,36,53,1924,879,6111,52063,35107,,,6058,53,1912,12,874,5,58,0,50996,1067,34256,851
2020-04-26T17:00:00,ITA,14,Molise,41.55774754,14.65916051,20,1,21,179,200,2,4,75,21,296,5567,5334,,,292,4,73,2,21,0,1,0,5191,376,5089,245
2020-04-26T17:00:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,138,14,152,842,994,-41,5,1218,269,2481,37431,17895,,,2476,5,1176,42,265,4,14,0,36608,823,17573,322
2020-04-26T17:00:00,ITA,4,P.A. Trento,46.06893511,11.12123097,199,24,223,1459,1682,-62,56,1807,405,3894,32142,19902,,,3838,56,1694,113,400,5,27,-3,30661,1481,19394,508
2020-04-26T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2866,214,3080,12439,15519,17,394,6478,2823,24820,135142,96977,,,24426,394,6157,321,2767,56,238,-24,131107,4035,93325,3652
2020-04-26T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,464,48,512,2425,2937,18,36,612,399,3948,55992,55397,,,3912,36,602,10,391,8,48,0,54628,1364,53500,1897
2020-04-26T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,95,20,115,668,783,-11,9,388,109,1280,21101,19162,,,1271,9,374,14,103,6,18,2,20351,750,18480,682
2020-04-26T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,445,33,478,1629,2107,-165,35,720,228,3055,70104,65689,,,3020,35,524,196,224,4,33,0,68251,1853,64892,797
2020-04-26T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,677,158,835,5234,6069,-77,132,2300,778,9147,127394,99751,,,9015,132,2109,191,760,18,166,-8,125495,1899,98753,998
2020-04-26T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,91,17,108,188,296,-1,2,1008,64,1368,32569,22320,,,1366,2,1006,2,63,1,18,-1,31939,630,21842,478
2020-04-26T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,82,7,89,165,254,-59,6,721,131,1106,6135,4624,dc-IT-0012,dc-EN-0012,1100,6,657,64,130,1,6,1,5966,169,4694,-70
2020-04-26T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,1097,124,1221,7917,9138,-294,80,7018,1315,17471,316361,183513,,,17391,80,6671,347,1288,27,129,-5,306977,9384,186426,-2913
